,id,text,Party_Obligate,Party_Beneficiary,Action_Verbs,Action_Clause,Condition,Condition_Verb,has_condition
63,cl3b0shz50lan07bvdopn88pg,each provision of this agreement shall be severable from every other provision of this agreement for the purpose of determining the legal enforceability of any specific provision.,[],[],['severable'],['each provision of this agreement shall be severable from every other provision of this agreement for the purpose of determining the legal enforceability of any specific provision.'],[],[],false
64,cl3b0tq230kra0797dmbs22hz,each grantor shall remain liable for any deficiency if the proceeds of any sale or other disposition of the collateral are insufficient to pay its obligations and the reasonable fees and disbursements of any attorneys employed by the collateral agent to collect such deficiency.,['grantor'],[],['liable'],['each grantor shall remain liable for any deficiency if the proceeds of any sale or other disposition of the collateral are insufficient to pay its obligations and the reasonable fees and disbursements of any attorneys employed by the collateral agent to collect such deficiency.'],[],[],false
65,cl3b0ts500kus07c082iadkyc,"if any lender or issuing bank determines that any change in law affecting such lender or issuing bank or any lending office of such lender or such lender’s or issuing bank’s holding company, if any, regarding capital requirements has or would have the effect of reducing the rate of return on such lender’s, issuing bank’s or holding company’s capital as a consequence of this agreement, or such lender’s or issuing bank’s commitments, loans, letters of credit or participations in lc obligations, to a level below that which such lender, issuing bank or holding company could have achieved but for such change in law (taking into consideration such lender’s, issuing bank’s and holding company’s policies with respect to capital adequacy), then from time to time borrowers will pay to such lender or issuing bank, as the case may be, such additional amount or amounts as will compensate it or its holding company for any such reduction suffered.",['borrowers'],"['lender', 'issuing bank']",['pay'],"['then from time to time borrowers will pay to such lender or issuing bank, as the case may be, such additional amount or amounts as will compensate it or its holding company for any such reduction suffered.']","['if any lender or issuing bank determines that any change in law affecting such lender or issuing bank or any lending office of such lender or such lender’s or issuing bank’s holding company, if any, regarding capital requirements has or would have the effect of reducing the rate of return on such lender’s, issuing bank’s or holding company’s capital as a consequence of this agreement, or such lender’s or issuing bank’s commitments, loans, letters of credit or participations in lc obligations, to a level below that which such lender, issuing bank or holding company could have achieved but for such change in law (taking into consideration such lender’s, issuing bank’s and holding company’s policies with respect to capital adequacy),']",[],true
66,cl3b0umoz0lp8078mdzhnf7lf,"if a change in control occurs and executive’s employment terminates under the circumstances described below, the provisions of section 2.1 shall apply.",[],[],['apply'],['the provisions of section 2.1 shall apply.'],"['if a change in control occurs and executive’s employment terminates under the circumstances described below,']",[],true
67,cl3b0vmj10mw107beffhh2c9e,"the holder acknowledges and agrees that it is the holder’s express intent that the grant agreement, the plan and all other documents, notices and legal proceedings entered into, given or instituted pursuant to the units, be drawn up in english. if the holder has received the grant agreement, the plan or any other documents related to the units translated into a language other than english, and if the meaning of the translated version is different than the english version, the english version will control.",['holder'],[],"['acknowledges', 'agrees']","['the holder acknowledges and agrees that it is the holder’s express intent that the grant agreement, the plan and all other documents, notices and legal proceedings entered into, given or instituted pursuant to the units, be drawn up in english.']",[],[],false
68,cl3b0vysh0mxo07be93ql28wf,"upon the termination of executive ’s employment for any reason, executive   will be deemed to have resigned from all officer and/or director positions held at the company and its affiliates voluntarily, without any further required action by executive , as of the end of executive ’s employment and executive , at the board’s request, will execute any documents reasonably necessary to reflect executive ’s resignation.",['executive'],['company'],['resigned'],"['executive \xa0 will be deemed to have resigned from all officer and/or director positions held at the company and its affiliates\xa0voluntarily, without any further required action by executive , as of the end of executive ’s employment and executive , at the board’s request, will execute any documents reasonably necessary to reflect executive ’s resignation.']","['upon the termination of executive ’s employment for any reason,']",[],true
69,cl3b0xqvw0m1x078mclqggchv,the company may terminate the executive’s employment at any time without cause upon 14 days prior written notice.,['company'],['executive'],['terminate'],['the company may terminate the executive’s employment at any time without cause upon 14 days prior written notice.'],[],[],false
70,cl3b0xsf10m4n08a763gs85qq,"each lender shall make each loan to be made by it hereunder on the proposed date thereof by wire transfer of immediately available funds by 1:00 p.m., new york city time, to the account of the administrative agent most recently designated by it for such purpose by notice to the lenders. the administrative agent will make such loans available to the borrower by promptly crediting the amounts so received, in like funds, to an account of the borrower designated by the borrower in the applicable borrowing request ; provided that borrowings made to finance the reimbursement of an lc disbursement as provided in section 2.04(f) shall be remitted by the administrative agent to the issuing bank .","['lender', 'administrative agent']","['administrative agent', 'borrower']","['make', 'make']","['each lender shall make each loan to be made by it hereunder on the proposed date thereof by wire transfer of immediately available funds by 1:00 p.m., new york city time, to the account of the administrative agent most recently designated by it for such purpose by notice to the lenders.', 'the administrative agent will make such loans available to the borrower by promptly crediting the amounts so received, in like funds, to an account of the borrower designated by the borrower in the applicable borrowing request ; provided that borrowings made to finance the reimbursement of an lc disbursement as provided in section\xa02.04(f) shall be remitted by the administrative agent to the issuing bank .']",['provided that borrowings made to finance the reimbursement of an lc disbursement as provided in section\xa02.04(f) shall be remitted by the administrative agent to the issuing bank .'],[],true
71,cl3b0yb3k0lxj07bv7ph69gre,"should participant cease employee status by reason of death, disability, termination by the company other than for good cause, or resignation by the participant for good reason, then all of the shares at the time subject to this award shall immediately vest and shall be issued on the date of the participant’s separation from service due to such death, disability, termination by the company other than for good cause, or resignation by the participant for good reason, or as soon as administratively practicable thereafter, subject to the corporation’s collection of the applicable withholding taxes, but in no event later than the close of the calendar year in which such separation from service occurs or (if later) the fifteenth (15th) day of the third (3rd) calendar month following the date of such separation from service.",[],[],"['vest', 'issued']","['then all of the shares at the time subject to this award shall immediately vest and shall be issued on the date of the participant’s separation from service due to such death, disability, termination by the company other than for good cause, or resignation by the participant for good reason, or as soon as administratively practicable thereafter, subject to the corporation’s collection of the applicable withholding taxes, but in no event later than the close of the calendar year in which such separation from service occurs or (if later) the fifteenth (15th) day of the third (3rd) calendar month following the date of such separation from service.']","['should participant cease employee status by reason of death, disability, termination by the company other than for good cause, or resignation by the participant for good reason,']",[],true
72,cl3b11d230mk5078m020dboay,"the participant shall be entitled to receive one share of common stock or an amount of cash equal to the fair market value of one share of common stock, as provided in the award agreement upon settlement of a restricted stock unit for which the restrictions have lapsed.",[],['participant'],['receive'],"['the participant shall be entitled to receive one share of common stock or an amount of cash equal to the fair market value of one share of common stock, as provided in the award agreement upon settlement of a restricted stock unit for which the restrictions have lapsed.']",[],[],false
73,cl3b13yyt0mse07bvgl60a4tc,"if any additional subsidiary is formed or acquired after the closing date (or any existing subsidiary becomes a subsidiary loan party after the closing date), the borrower will, within five business days after such subsidiary is formed or acquired (or becomes a subsidiary loan party), notify the administrative agent and the lenders thereof and, within 30 days (or such longer period as may be agreed to by the administrative agent) after such subsidiary is formed or acquired (or becomes a subsidiary loan party), cause the collateral and guarantee requirement to be satisfied with respect to such subsidiary, including with respect to any equity interest in or indebtedness of such subsidiary owned by or on behalf of any loan party.",['borrower'],"['administrative agent', 'lenders']",['notify'],"['the borrower will, within five business days after such subsidiary is formed or acquired (or becomes a subsidiary loan party), notify the administrative agent and the lenders thereof and, within 30 days (or such longer period as may be agreed to by the administrative agent) after such subsidiary is formed or acquired (or becomes a subsidiary loan party), cause the collateral and guarantee requirement to be satisfied with respect to such subsidiary, including with respect to any equity interest in or indebtedness of such subsidiary owned by or on behalf of any loan party.']","['if any additional subsidiary is formed or acquired after the closing date (or any existing subsidiary becomes a subsidiary loan party after the closing date),']",[],true
74,cl3b14qnt0mv507bv34pj9cc3,"the administrator shall have the discretion to determine whether and to what extent the lapsing of company repurchase rights shall continue during any paid leave and shall be tolled during any unpaid leave of absence; provided, however, that in the absence of such determination, such lapsing shall be tolled during any leave (unless otherwise required by applicable laws). notwithstanding the foregoing, in the event of military leave, the lapsing of company repurchase rights shall toll during any unpaid portion of such leave, provided that, upon a participant’s returning from military leave (under conditions that would entitle him or her to protection upon such return under the uniform services employment and reemployment rights act), he or she shall be given vesting credit with respect to shares purchased pursuant to the restricted stock purchase agreement to the same extent as would have applied had the participant continued to provide services to the company (or any parent, subsidiary or affiliate, if applicable) throughout the leave on the same terms as he or she was providing services immediately prior to such leave.",[],['administrator'],['have'],"['the administrator shall have the discretion to determine whether and to what extent the lapsing of company repurchase rights shall continue during any paid leave and shall be tolled during any unpaid leave of absence; provided, however, that in the absence of such determination, such lapsing shall be tolled during any leave (unless otherwise required by applicable laws).']",[],[],false
75,cl3b15avb0o9w07dx3l1qh8iq,"upon the termination of your employment, you agree to return to the company, all company property, including all materials furnished to you during your employment (including but not limited to keys, computers, automobiles, electronic communication devices, files and identification cards) and all materials created by you during your employment. in addition, you agree that upon the termination of your employment you will provide the company with all passwords and similar information for company-provided systems and programs that will be necessary for the company to access materials on which you worked or to continue in its business.",[],[],['furnished'],"['you agree to return to the company, all company property, including all materials furnished to you during your employment (including but not limited to keys, computers, automobiles, electronic communication devices, files and identification cards) and all materials created by you during your employment.']",['upon the termination of your employment'],[],true
76,cl3b15hsq0nce088e8lw6guqb,"if any proceeding shall be brought or asserted against any person entitled to indemnity hereunder (an “ indemnified party ”), such indemnified party shall promptly notify the person from whom indemnity is sought (the “ indemnifying party ”) in writing, and the indemnifying party shall have the right to assume the defense thereof, including the employment of counsel reasonably satisfactory to the indemnified party and the payment of all fees and expenses incurred in connection with defense thereof, provided that the failure of any indemnified party to give such notice shall not relieve the indemnifying party of its obligations or liabilities pursuant to this agreement, except (and only) to the extent that it shall be finally determined by a court of competent jurisdiction (which determination is not subject to appeal or further review) that such failure shall have materially and adversely prejudiced the indemnifying party.",['indemnified party'],['indemnifying party'],['notify'],"['such indemnified party shall promptly notify the person from whom indemnity is sought (the “ indemnifying party ”) in writing, and the indemnifying party shall have the right to assume the defense thereof, including the employment of counsel reasonably satisfactory to the indemnified party and the payment of all fees and expenses incurred in connection with defense thereof, provided that the failure of any indemnified party to give such notice shall not relieve the indemnifying party of its obligations or liabilities pursuant to this agreement, except (and only) to the extent that it shall be finally determined by a court of competent jurisdiction (which determination is not subject to appeal or further review) that such failure shall have materially and adversely prejudiced the indemnifying party.']",['if any proceeding shall be brought or asserted against any person entitled to indemnity hereunder (an “ indemnified party ”)'],[],true
77,cl3b17cps0ok607dxgx7scbxq,"executive’s employment may be terminated at any time prior to the end of the term under the terms described in this section 4, and the term shall automatically terminate upon any termination of executive’s employment.  for purposes of clarification, except as provided in sections 4(e)(v), 4(f), and 5.6, all stock options, restricted stock units and other equity-based awards will be governed by the terms of the plans, grant agreements and programs under which such options, restricted stock units or other awards were granted on any termination of the term and executive’s employment with the company.",['executive’s'],[],['terminated'],"['executive’s employment may be terminated at any time prior to the end of the term under the terms described in this section\xa04, and the term shall automatically terminate upon any termination of executive’s employment.']",[],[],false
78,cl3b1cvxp0o49078m2ttodb5s,the company may terminate the executive’s employment without cause.,[],[],['terminate'],['the company may terminate the executive’s employment without cause.'],[],[],true
79,cl3b1dsqu0pgx07dxg7w56880,"(i) on the date on which the aggregate unpaid principal amount of eurodollar rate advances comprising any borrowing shall be reduced, by payment or prepayment or otherwise, to less than $5,000,000, such advances shall automatically convert into base rate advances.",[],[],['convert'],"['to less than $5,000,000, such advances shall automatically convert into base rate advances.']","['\xa0on the date on which the aggregate unpaid principal amount of eurodollar rate advances comprising any borrowing shall be reduced, by payment or prepayment or otherwise']",[],true
80,cl3b1eeqd0nhr07c0290ge07f,"any undisputed amount required to be paid by a party hereunder which is not paid on the date due shall bear interest, to the extent permitted by applicable law, at the average one-month london inter-bank offering rate (libor) for the dollar as reported from time to time in the wall street journal (or successor publication thereto) plus two percent (2%) annually (compounded quarterly), effective for the first date on which payment was delinquent and calculated on the number of days such payment is overdue or, if such rate is not regularly published, as published in such source as the parties agree upon in writing.  in the event that such rate is not published regularly by the wall street journal (or successor publication thereto), the parties shall agree on an alternative similar source.",[],[],['reported'],"['at the average one-month london inter-bank offering rate (libor) for the dollar as reported from time to time in the wall street journal (or successor publication thereto) plus two percent (2%) annually (compounded quarterly), effective for the first date on which payment was delinquent and calculated on the number of days such payment is overdue or, if such rate is not regularly published, as published in such source as the parties agree upon in writing']","['any undisputed amount required to be paid by a party hereunder which is not paid on the date due shall bear interest, to the extent permitted by applicable law']",['paid'],true
81,cl3b1l56e0p2n08a76tih1dut,"participant and company agree that in the event of litigation to enforce the terms and obligations under this award agreement, the party prevailing in any such cause of action will be entitled to reimbursement of reasonable attorney’s fees.",[],[],['entitled'],['the party prevailing in any such cause of action will be entitled to reimbursement of reasonable attorney’s fees.'],['participant and company agree that in the event of litigation to enforce the terms and obligations under this award agreement'],[],true
82,cl3b1l8t30o1g07970p9902kv,"during the period of restriction, the participant shall be entitled to receive currently all dividends and other distributions paid with respect to the award shares (other than dividends or distributions which are paid in shares of stock).  if, during the period of restriction, any such dividends or distributions are paid in shares of stock with respect to the award shares, such shares shall be registered in the name of the participant and, if issued in certificate form, deposited with the company as provided in paragraph 3, and such shares shall be subject to the same vesting rules and restrictions on transferability as the award shares with respect to which they were paid.",['award shares'],['participant'],['entitled'],['the participant shall be entitled to receive currently all dividends and other distributions paid with respect to the award shares (other than dividends or distributions which are paid in shares of stock)'],['during the period of restriction'],[],true
83,cl3b1lz6w008w08bt1xr61v72,"in the event of any conflict or inconsistency between the provisions of this agreement and the provisions of any secured debt documents, the provisions of this agreement shall control.",[],[],['control'],['the provisions of this agreement shall control.'],['in the event of any conflict or inconsistency between the provisions of this agreement and the provisions of any secured debt documents'],[],true
84,cl3b1oq9i0ozu07c05cll5a3l,"as soon as practicable after any payment of taxes by any loan party to a governmental authority, as provided in this section  3.01 , the borrower shall deliver to the administrative agent the original or a certified copy of a receipt issued by such governmental authority evidencing such payment, a copy of any return reporting such payment or other evidence of such payment reasonably satisfactory to the administrative agent.",['borrower'],['administrative agent'],['deliver'],"['the borrower shall deliver to the administrative agent the original or a certified copy of a receipt issued by such governmental authority evidencing such payment, a copy of any return reporting such payment or other evidence of such payment reasonably satisfactory to the administrative agent.']","['as soon as practicable after any payment of taxes by any loan party to a governmental authority, as provided in this section \xa03.01']",[],true
85,cl3b1q9920rb107dxeclrbowq,"if the company breaches any of the covenants set forth in this section 4, and in addition to any other remedies available to the buyer pursuant to this agreement, it will be considered an event of default under section 3.3 of the note.",[],[],['considered'],['it will be considered an event of default under section 3.3 of the note.'],"['if the company breaches any of the covenants set forth in this section 4, and in addition to any other remedies available to the buyer pursuant to this agreement,']",['breaches'],false
86,cl2fnm1n11pk60z7bbz0g6o0r,"from and after the effective date, the administrative agent shall make all payments in respect of [the][each] assigned interest (including payments of principal, interest, fees and other amounts) to [the][the relevant] assignee whether such amounts have accrued prior to, on or after the effective date specified for this assignment and assumption. the assignor[s] and the assignee[s] shall make all appropriate adjustments in payments by the administrative agent for periods prior to such effective date or with respect to the making of this assignment directly between themselves.",['administrative agent'],['assignee'],"['make', 'make']","['the administrative agent shall make all payments in respect of [the][each] assigned interest (including payments of principal, interest, fees and other amounts) to [the][the relevant] assignee whether such amounts have accrued prior to, on or after the effective date specified for this assignment and assumption', 'the assignor[s] and the assignee[s] shall make all appropriate adjustments in payments by the administrative agent for periods prior to such effective date or with respect to the making of this assignment directly between themselves']",['from and after the effective date'],[],true
87,cl2fnm1t806qy0z965je66kab,"all payments to be made by any guarantor pursuant to this guaranty shall be made in dollars, in immediately available funds to the administrative agent at its principal office, not later than 2:00 p.m. prevailing eastern time, on the date one business day after demand therefor.",['guarantor'],['administrative agent'],['made'],"['all payments to be made by any guarantor pursuant to this guaranty shall be made in dollars, in immediately available funds to the administrative agent at its principal office, not later than 2:00 p.m. prevailing eastern time']",['on the date one business day after demand therefor'],[],true
88,cl2fnpt1g1riy10a2f6t4d4ih,"concurrently with the execution of this agreement and subject to all of the terms set forth herein, lcg shall pay players the sum of two hundred fifty thousand and no/100 ($250,000) (“initial payment”) due upon signing this agreement. thereafter, lcg shall pay players the sum of three hundred fifty thousand and no/100 ($350,000) upon the subsequent transaction to any third party (“subsequent transaction payment”). finally, lcg will further pay players twenty-five percent (25%) of the gross proceeds of sale less deductions for applicable sales and/or any fair market investment banking commissions paid to third party brokers or investment bankers as a commission engaged by lcg and paid by lcg for referring a purchaser to lcg for the subsequent transaction (which shall not exceed standard and customary sales commissions) of any sale price exceeding five million dollars ($5,000,000) (“sale bonus paid within 3 business days of closing such transaction, failure to pay such bonus on time will result in an the maximum amount of interest allowed in the state of california. lcg shall provide players with prior notice of any subsequent transaction and the name of the third party buyer that intends to, or has entered into, an agreement to enter into a subsequent transaction, the earlier of entering into a letter of intent to enter into a subsequent transaction or executing any definitive terms set forth in a purchase agreement including a copy of the transaction.","['lcg', 'lcg', 'lcg', 'lcg']","['players', 'players', 'players', 'players']","['pay', 'pay', 'pay', 'provide']","['concurrently with the execution of this agreement and subject to all of the terms set forth herein, lcg shall pay players the sum of two hundred fifty thousand and no/100 ($250,000) (“initial payment”) due upon signing this agreement.', 'lcg shall pay players the sum of three hundred fifty thousand and no/100 ($350,000) upon the subsequent transaction to any third party (“subsequent transaction payment”).', 'lcg will further pay players twenty-five percent (25%) of the gross proceeds of sale less deductions for applicable sales and/or any fair market investment banking commissions paid to third party brokers or investment bankers as a commission engaged by lcg and paid by lcg for referring a purchaser to lcg for the subsequent transaction (which shall not exceed standard and customary sales commissions) of any sale price exceeding five million dollars ($5,000,000) (“sale bonus paid within 3 business days of closing such transaction, failure to pay such bonus on time will result in an the maximum amount of interest allowed in the state of california.', 'lcg shall provide players with prior notice of any subsequent transaction and the name of the third party buyer that intends to, or has entered into, an agreement to enter into a subsequent transaction, the earlier of entering into a letter of intent to enter into a subsequent transaction or executing any definitive terms set forth in a purchase agreement including a copy of the transaction.']",[],[],false
89,cl2fns9rd1riy0z8a3rt5gsh2,"whenever any payment of cash is to be made by any credit party to any person pursuant to this agreement, the notes or other transaction document, such payment shall be made in lawful money of the united states of america by a check drawn on the account or accounts of such credit party and sent via overnight courier service to such person at such address as previously provided to the borrower in writing (which address, in the case of each of the lenders, shall initially be as set forth on the schedule of lenders attached hereto); provided that (i) the agent, any holder or any lender may elect to receive a payment of cash via wire transfer of immediately available funds by providing the borrower with prior written notice setting out such request and the agent’s, such holder’s or such lender’s wire transfer instructions and (ii) credit parties may elect to make a payment of cash via wire transfer of immediately available funds in accordance with wire transfer instructions provided by the agent, each holder and each lender upon request therefor. whenever any amount expressed to be due by the terms of this agreement or any note is due on any day which is not a business day, the same shall instead be due on the next succeeding day which is a business day and, in the case of any interest date which is not the date on which the applicable note is paid in full in cash, the extension of the due date thereof shall not be taken into account for purposes of determining the amount of interest due on such date. any amount due under the transaction documents (other than principal and interest, if the same are already accruing interest at the default rate), which is not paid when due shall result in a late charge being incurred and payable by the borrower in an amount equal to accrued interest at the default rate from the date such amount was due until the same is paid in full in cash (“ late charge ”). such late charge shall continue to accrue post‑petition in any proceeding under any bankruptcy law.",['credit party'],['person'],['made'],"['such payment shall be made in lawful money of the united states of america by a check drawn on the account or accounts of such credit party and sent via overnight courier service to such person at such address as previously provided to the borrower in writing (which address, in the case of each of the lenders, shall initially be as set forth on the schedule of lenders attached hereto);']","['whenever any payment of cash is to be made by any credit party to any person pursuant to this agreement, the notes or other transaction document,']",['made'],true
90,cl2fnxv571urq0z9u33hkgyqg,"whenever any payment of cash is to be made by any credit party to any person pursuant to this agreement, the notes or other transaction document, such payment shall be made in lawful money of the united states of america (provided, that payments of cash made in respect of the uk term notes (gbp) shall be made in lawful money of the united kingdom) by a check drawn on the account or accounts of such credit party and sent via overnight courier service to such person at such address as previously provided to the borrower representative in writing (which address, in the case of each of the lenders, shall initially be as set forth on the schedule of lenders attached hereto); provided that (i) the agent, any holder or any lender may elect to receive a payment of cash via wire transfer of immediately available funds by providing the borrower representative with prior written notice setting out such request and the agent’s, such holder’s or such lender’s wire transfer instructions and (ii) credit parties may elect to make a payment of cash via wire transfer of immediately available funds in accordance with wire transfer instructions provided by the agent, each holder and each lender upon request therefor. whenever any amount expressed to be due by the terms of this agreement or any note is due on any day which is not a business day, the same shall instead be due on the next succeeding day which is a business day and, in the case of any interest date which is not the date on which the applicable note is paid in full in cash, the extension of the due date thereof shall not be taken into account for purposes of determining the amount of interest due on such date. any amount due under the transaction documents (other than principal and interest, if the same are already accruing interest at the default rate), which is not paid when due shall result in a late charge being incurred and payable by the borrowers in an amount equal to accrued interest at the default rate from the date such amount was due until the same is paid in full in cash (“ late charge ”). such late charge shall continue to accrue post-petition in any proceeding under any bankruptcy law.",['credit party'],['person'],['made'],"['such payment shall be made in lawful money of the united states of america (provided, that payments of cash made in respect of the uk term notes (gbp) shall be made in lawful money of the united kingdom) by a check drawn on the account or accounts of such credit party and sent via overnight courier service to such person at such address as previously provided to the borrower representative in writing (which address, in the case of each of the lenders, shall initially be as set forth on the schedule of lenders attached hereto);']","['whenever any payment of cash is to be made by any credit party to any person pursuant to this agreement, the notes or other transaction document,']",['made'],true
91,cl2fo0idq01gq10779f3g413j,all amounts due under this section shall be payable not later than fifteen (15) days after written demand therefor.,[],[],['be payable'],['all amounts due under this section shall be payable not later than fifteen (15) days'],['after written demand therefor.'],[],true
92,cl2fo6p6e1wm20z9uefxm9oti,"from and after the effective date, the administrative agent shall make all payments in respect of the assigned interest (including payments of principal, interest, fees and other amounts) to the assignor for amounts which have accrued to but excluding the effective date and to the assignee for amounts which have accrued from and after the effective date.",['administrative agent'],"['assignor', 'assignee']",['make'],"['the administrative agent shall make all payments in respect of the assigned interest (including payments of principal, interest, fees and other amounts) to the assignor for amounts which have accrued to but excluding the effective date and to the assignee for amounts which have accrued from and after the effective date.']",['from and after the effective date'],[],true
93,cl2fo786u0aoo0z967uzb24mv,all amounts due under this section shall be payable not later than 10 business days after written demand therefor.,[],[],['be payable'],['all amounts due under this section shall be payable not later than 10\xa0business days'],['after written demand therefor.'],[],true
94,cl2fo93qd1thq109gf7y6h0i6,"from and after the effective date, the administrative agent shall make all payments in respect of the assigned interest (including payments of principal, interest, fees and other amounts) to the assignee whether such amounts have accrued prior to or on or after the effective date. the assignor and the assignee shall make all appropriate adjustments in payments by the administrative agent for periods prior to the effective date or with respect to the making of this assignment directly between themselves.",['administrative agent'],['assignee'],['make'],"['the administrative agent shall make all payments in respect of the assigned interest (including payments of principal, interest, fees and other amounts) to the assignee whether such amounts have accrued prior to or on or after the effective date.']",['from and after the effective date'],[],true
95,cl2fo9ov20b7g0z961hsufjm0,all payments to ait therapeutics shall be in us dollars.,[],['ait therapeutics'],['be'],['all payments to ait therapeutics shall be in us dollars.'],[],[],false
96,cl2foagwx0bd30z965elrelfv,"payment under the plan to an eligible employee or his beneficiary shall be made by the company solely from its general assets. the match restoration benefit shall be paid in the form of a single cash payment made as soon as reasonably practicable following the eligible employee's retirement, death, or other termination of employment; provided, however, that the payment shall be made by the end of the year in which the eligible employee's retirement, death, or other termination of employment occurs or, if later, by the 15th day of the third calendar month following the date of the eligible employee's retirement, death, or other termination of employment.",['company'],"['employee', ""employee's""]","['made', 'paid']","['payment under the plan to an eligible employee or his beneficiary shall be made by the company solely from its general assets.', ""the match restoration benefit shall be paid in the form of a single cash payment made as soon as reasonably practicable following the eligible employee's retirement, death, or other termination of employment""]",[],[],false
97,cl2foei7v1vup0z8n8web0krz,"subject to section 5(b) below and except as otherwise provided hereunder, payment of any bonus amount determined under section 4 shall be made to each participant as soon as practicable after the committee certifies that one or more of the applicable performance objectives have been attained (or, in the case of any bonus payable under the provisions of section 4(f), after the committee determines the amount of any such bonus) but in no event later than the 2½ month period.",[],['participant'],['made'],"['payment of any bonus amount determined under section 4 shall be made to each participant as soon as practicable after the committee certifies that one or more of the applicable performance objectives have been attained (or, in the case of any bonus payable under the provisions of section 4(f), after the committee determines the amount of any such bonus) but in no event later than the 2½ month period.']","['subject to section 5(b) below and except as otherwise provided hereunder,']",[],true
98,cl2fofaa71wzu10a2h368f6d8,licensee shall pay the full amount of the license fees according to the payment terms specified in exhibit a .,['licensee'],[],['pay'],['licensee shall pay the full amount of the license fees according to the payment terms specified in exhibit a .'],[],[],false
99,cl2foi3al1z5u0z9u3azi1ifm,all amounts due under this section 10.04 shall be payable no later than three (3) business days after demand therefor.,[],[],['be payable'],['all amounts due under this section 10.04 shall be payable no later than three (3) business days'],['after demand therefor.'],[],true
100,cl2foik4h0dd70z964ak51f33,"all payments and prepayments to be made in respect of principal, interest, commitment fees, letter of credit fees, the administrative agent’s fee or other fees or amounts due from the borrower hereunder shall be payable prior to 1:00 p.m. on the date when due without presentment, demand, protest or notice of any kind, all of which are hereby expressly waived by the borrower, and without set-off, counterclaim or other deduction of any nature, and an action therefor shall immediately accrue. such payments shall be made to the administrative agent at the principal office for the account of hsbc with respect to the swing loans and for the ratable accounts of the lenders with respect to the revolving credit loans in u.s. dollars and in immediately available funds, and the administrative agent shall promptly distribute such amounts to the lenders in immediately available funds. the administrative agent’s and each lender’s statement of account, ledger or other relevant record shall, in the absence of manifest error, be conclusive as the statement of the amount of principal of and interest on the loans and other amounts owing under this agreement.","['borrower', 'administrative agent']","['administrative agent', 'lenders']","['be payable', 'made', 'distribute']","['the administrative agent’s fee or other fees or amounts due from the borrower hereunder shall be payable prior to 1:00 p.m. on the date when due without presentment, demand, protest or notice of any kind, all of which are hereby expressly waived by the borrower, and without set-off, counterclaim or other deduction of any nature, and an action therefor shall immediately accrue.', 'such payments shall be made to the administrative agent at the principal office for the account of hsbc with respect to the swing loans and for the ratable accounts of the lenders with respect to the revolving credit loans in u.s. dollars and in immediately available funds, and the administrative agent shall promptly distribute such amounts to the lenders in immediately available funds.']",[],[],false
101,cl2foja1e1zcd0z9u11dm2mp6,all amounts due under this section shall be payable not later than ten (10) days after demand therefor and presentation of a reasonably detailed invoice.,[],[],['be payable'],['all amounts due under this section shall be payable not later than ten (10) days'],['after demand therefor and presentation of a reasonably detailed invoice'],[],true
102,cl2foq6tv0f1q0z96av1y161v,"from and after the effective date, the administrative agent shall make all payments in respect of [the][each] assigned interest (including payments of principal, interest, fees and other amounts) to [the][the relevant] assignor for amounts which have accrued to but excluding the effective date and to [the][the relevant] assignee for amounts which have accrued from and after the effective date. notwithstanding the foregoing, the administrative agent shall make all payments of interest, fees or other amounts paid or payable in kind from and after the effective date to [the][the relevant] assignee.",['administrative agent'],"['assignor', 'assignee']",['make'],"['the administrative agent shall make all payments in respect of [the][each] assigned interest (including payments of principal, interest, fees and other amounts) to [the][the relevant] assignor for amounts which have accrued to but excluding the effective date and to [the][the relevant] assignee for amounts which have accrued from and after the effective date.']","['from and after the effective date,']",[],true
103,cl2forzbv1xoy0z7b548lcsqw,"subject to the terms of the credit agreement, from and after the effective date, the administrative agent shall make all payment in respect to the assigned interest (including payments of principal, interest, fees and other amounts) to [the] [each such] assignor for amounts which have accrued to but excluding the effective date and to [the] [each] assignee for amounts which have accrued from and after the effective date.",['administrative agent'],"['assignor', 'assignee']",['make'],"['the administrative agent shall make all payment in respect to the assigned interest (including payments of principal, interest, fees and other amounts) to [the] [each such] assignor for amounts which have accrued to but excluding the effective date and to [the] [each] assignee for amounts which have accrued from and after the effective date.']","['subject to the terms of the credit agreement, from and after the effective date,']",[],true
104,cl2fos22j0ff80z969rou2kks,"whenever any payment to be made hereunder shall be stated to be due on a day which is not a business day, such payment may be made on the next succeeding business day in good funds, and such extension of time shall in such case be included in the computation of payment of interest on the notes.  the lender may debit to the depository accounts maintained by the company with the lender all payments on the obligations when due without prior notice to or consent of the company.",['lender'],['company'],"['made', 'debit']","['such payment may be made on the next succeeding business day in good funds, and such extension of time shall in such case be included in the computation of payment of interest on the notes.', 'the lender may debit to the depository accounts maintained by the company with the lender all payments on the obligations']","['whenever any payment to be made hereunder shall be stated to be due on a day which is not a business day,', 'when due without prior notice to or consent of the company.']",['made'],true
